avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' personpronoun had found articlehere law articlehere most unprofitable study and was now absolutely resolved on being ordained if personpronoun would present thirdpronoun to articlehere living in question of interpronoun personpronoun trusted there could be little doubt as personpronoun was well assured demonpronoun personpronoun had no indefpronoun person to provide for and personpronoun could not have forgotten my revered father s intentions\n', 2689.7760918799117]
[' personpronoun will hardly blame me for refusing to comply with demonpronoun entreaty or for resisting every repetition of it\n', 7781.42889491405]
[' after demonpronoun period every appearance of acquaintance was dropt\n', 3254.3907685900917]
[' how personpronoun lived personpronoun know not\n', 199.5215585991953]
[' but last summer personpronoun was again most painfully obtruded on my notice\n', 1383.859953431383]
[' having said thus much personpronoun feel no doubt of your secrecy\n', 1109.3017172407622]
[' my sister interpronoun is more than ten years my junior was left to articlehere guardianship of my mother s nephew colonel fitzwilliam and myself\n', 4281.49242553933]
[' about articlehere year ago personpronoun was taken from school and articlehere establishment formed for thirdpronoun in london and last summer personpronoun went with articlehere lady interpronoun presided over personpronoun to ramsgate and thither also went addressform wickham undoubtedly by design for there proved to have been articlehere prior acquaintance between thirdpronoun and addressform younge in interpronoun character personpronoun were most unhappily deceived and by thirdpronoun connivance and aid personpronoun so far recommended reflexpronoun to georgiana interpronoun affectionate heart retained articlehere strong impression of possespronoun kindness to thirdpronoun as articlehere child demonpronoun personpronoun was persuaded to believe reflexpronoun in love and to consent to articlehere elopement\n', inf]
[' personpronoun was then but fifteen interpronoun must be thirdpronoun excuse and after stating thirdpronoun imprudence personpronoun am happy to add demonpronoun personpronoun owed articlehere knowledge of personpronoun to herself\n', 1586.0644047884168]
[' personpronoun joined thirdpronoun unexpectedly articlehere day or two before articlehere intended elopement and then georgiana unable to support articlehere idea of grieving and offending articlehere brother interpronoun personpronoun almost looked up to as articlehere father acknowledged articlehere whole to me\n', 4281.3348295786955]
[' personpronoun may imagine interpronoun personpronoun felt and how personpronoun acted\n', 315.763467080069]
[' regard for my sister s credit and feelings prevented indefpronoun public exposure but personpronoun wrote to addressform wickham interpronoun left articlehere place immediately and addressform younge was of course removed from thirdpronoun charge\n', 2872.891569929091]
[' addressform wickham s chief object was unquestionably my sister s fortune interpronoun is thirty thousand pounds but personpronoun cannot help supposing demonpronoun articlehere hope of revenging reflexpronoun on me was articlehere strong inducement\n', 3169.6002073268337]
[' demonpronoun madam is articlehere faithful narrative of every event in interpronoun personpronoun have been concerned together and if personpronoun do not absolutely reject personpronoun as false personpronoun will personpronoun hope acquit me henceforth of cruelty towards addressform wickham\n', 1414.6073735874552]
[' ignorant as personpronoun previously were of every thing concerning indefpronoun detection could not be in your power and suspicion certainly not in your inclination\n', 2995.5555291953415]
[' personpronoun may possibly wonder why indefpronoun demonpronoun was not told personpronoun last night\n', 2763.4527467876433]
[' but personpronoun was not then master enough of reflexpronoun to know interpronoun could or ought to be revealed\n', 922.2615753846056]
[' for articlehere truth of every thing here related personpronoun can appeal more particularly to articlehere testimony of colonel fitzwilliam interpronoun from our near relationship and constant intimacy and still more as indefpronoun of articlehere executors of my father s will has been unavoidably acquainted with every particular of demonpronoun transactions\n', 4085.0727180787426]
[' if your abhorrence of me should make my assertions valueless personpronoun cannot be prevented by articlehere same cause from confiding in my cousin and demonpronoun there may be articlehere possibility of consulting thirdpronoun personpronoun shall endeavour to find indefpronoun opportunity of putting demonpronoun letter in your hands in articlehere course of articlehere morning\n', 4014.125382856884]
[' personpronoun will only add god bless you\n', 7963.624577440515]
[' fitzwilliam darcy\n', 13.448556263520718]
[' if elizabeth when addressform darcy gave thirdpronoun articlehere letter did not expect personpronoun to contain articlehere renewal of possespronoun offers personpronoun had formed no expectation at indefpronoun of possespronoun contents\n', 1625.7392834493305]
[' but such as personpronoun were personpronoun may be well supposed how eagerly personpronoun went through thirdpronoun and interpronoun articlehere contrariety of emotion personpronoun excited\n', 1145.5840699848807]
[' thirdpronoun feelings as personpronoun read were scarcely to be defined\n', 900.9155482368923]
[' with amazement did personpronoun first understand demonpronoun personpronoun believed indefpronoun apology to be in possespronoun power and steadfastly was personpronoun persuaded demonpronoun personpronoun could have no explanation to give interpronoun articlehere just sense of shame would not conceal\n', 2435.2853869719847]
[' with articlehere strong prejudice against every thing personpronoun might say personpronoun began possespronoun account of interpronoun had happened at netherfield\n', 1436.3965568351787]
[' personpronoun read with articlehere eagerness interpronoun hardly left thirdpronoun power of comprehension and from impatience of knowing interpronoun articlehere next sentence might bring was incapable of attending to articlehere sense of articlehere indefpronoun before thirdpronoun eyes\n', 2264.736671292444]
